,rank,country,price,score,active,athlete_id,is_team,name,gender,links.self,links.results
339,94,SWE,226,0,False,3505003,False,RYDQVIST Maria,f,https://www.fantasyxc.se/api/athletes/3505003,https://www.fantasyxc.se/api/athletes/3505003/results
340,94,RUS,216,0,True,3485841,False,DAVYDENKOVA Maria,f,https://www.fantasyxc.se/api/athletes/3485841,https://www.fantasyxc.se/api/athletes/3485841/results
341,94,JPN,211,0,True,3305279,False,TSUCHIYA Masae,f,https://www.fantasyxc.se/api/athletes/3305279,https://www.fantasyxc.se/api/athletes/3305279/results
342,94,DEU,224,0,True,3205424,False,HERRMANN Nadine,f,https://www.fantasyxc.se/api/athletes/3205424,https://www.fantasyxc.se/api/athletes/3205424/results
343,94,RUS,216,0,False,3485510,False,KALSINA Polina,f,https://www.fantasyxc.se/api/athletes/3485510,https://www.fantasyxc.se/api/athletes/3485510/results
344,94,EST,219,0,False,3395035,False,ALBA Laura,f,https://www.fantasyxc.se/api/athletes/3395035,https://www.fantasyxc.se/api/athletes/3395035/results
345,94,UKR,230,0,True,3695082,False,KROL Yuliia,f,https://www.fantasyxc.se/api/athletes/3695082,https://www.fantasyxc.se/api/athletes/3695082/results
346,94,POL,231,0,True,3435201,False,SKINDER Monika,f,https://www.fantasyxc.se/api/athletes/3435201,https://www.fantasyxc.se/api/athletes/3435201/results
347,94,NOR,211,0,True,3426149,False,SKAANES Marte,f,https://www.fantasyxc.se/api/athletes/3426149,https://www.fantasyxc.se/api/athletes/3426149/results
348,94,FIN,216,0,True,3185702,False,PIIPPO Eveliina,f,https://www.fantasyxc.se/api/athletes/3185702,https://www.fantasyxc.se/api/athletes/3185702/results
349,94,KAZ,224,0,False,1319976,False,KOLOMINA Yelena,f,https://www.fantasyxc.se/api/athletes/1319976,https://www.fantasyxc.se/api/athletes/1319976/results
350,94,USA,228,0,False,3535261,False,STEPHEN Elizabeth,f,https://www.fantasyxc.se/api/athletes/3535261,https://www.fantasyxc.se/api/athletes/3535261/results
351,94,SWE,219,0,False,3505631,False,CEDERVAERN Emilie,f,https://www.fantasyxc.se/api/athletes/3505631,https://www.fantasyxc.se/api/athletes/3505631/results
352,94,DEU,213,0,False,3205224,False,KOLB Hanna,f,https://www.fantasyxc.se/api/athletes/3205224,https://www.fantasyxc.se/api/athletes/3205224/results
353,94,CAN,223,0,False,3105179,False,BOUFFARD-NESBITT Olivia,f,https://www.fantasyxc.se/api/athletes/3105179,https://www.fantasyxc.se/api/athletes/3105179/results
354,94,DEU,219,0,False,3205215,False,GOESSNER Miriam,f,https://www.fantasyxc.se/api/athletes/3205215,https://www.fantasyxc.se/api/athletes/3205215/results
355,94,EST,3977,0,True,3395163,True,ESTONIA I,f,https://www.fantasyxc.se/api/athletes/3395163,https://www.fantasyxc.se/api/athletes/3395163/results
356,94,RUS,226,0,True,3485760,False,GAIANOVA Elmira,f,https://www.fantasyxc.se/api/athletes/3485760,https://www.fantasyxc.se/api/athletes/3485760/results
357,94,USA,213,0,False,3535021,False,GREGG Caitlin,f,https://www.fantasyxc.se/api/athletes/3535021,https://www.fantasyxc.se/api/athletes/3535021/results
358,111,JPN,219,0,True,3300270,False,NARUSE Kaichi,m,https://www.fantasyxc.se/api/athletes/3300270,https://www.fantasyxc.se/api/athletes/3300270/results
359,111,ITA,221,0,True,3290417,False,FANTON Paolo,m,https://www.fantasyxc.se/api/athletes/3290417,https://www.fantasyxc.se/api/athletes/3290417/results
360,111,SWE,223,0,False,3501346,False,THORN Viktor,m,https://www.fantasyxc.se/api/athletes/3501346,https://www.fantasyxc.se/api/athletes/3501346/results
361,111,NOR,225,0,False,3421601,False,GRAVE Nils Magnus Boeen,m,https://www.fantasyxc.se/api/athletes/3421601,https://www.fantasyxc.se/api/athletes/3421601/results
362,111,AUS,213,0,False,3040080,False,WATSON Callum,m,https://www.fantasyxc.se/api/athletes/3040080,https://www.fantasyxc.se/api/athletes/3040080/results
363,111,SWE,214,0,True,3501577,False,ANDERSSON Fredrik,m,https://www.fantasyxc.se/api/athletes/3501577,https://www.fantasyxc.se/api/athletes/3501577/results
364,111,DEU,221,0,False,3200219,False,MAETTIG Valentin,m,https://www.fantasyxc.se/api/athletes/3200219,https://www.fantasyxc.se/api/athletes/3200219/results
365,111,CAN,214,0,False,3100268,False,KENNEDY Russell,m,https://www.fantasyxc.se/api/athletes/3100268,https://www.fantasyxc.se/api/athletes/3100268/results
366,111,POL,220,0,True,3430276,False,HARATYK Mateusz,m,https://www.fantasyxc.se/api/athletes/3430276,https://www.fantasyxc.se/api/athletes/3430276/results
367,111,FRA,214,0,True,3190002,False,CHAUVET Benoit,m,https://www.fantasyxc.se/api/athletes/3190002,https://www.fantasyxc.se/api/athletes/3190002/results
368,111,SVN,224,0,False,3560109,False,DOLAR Miha,m,https://www.fantasyxc.se/api/athletes/3560109,https://www.fantasyxc.se/api/athletes/3560109/results
369,111,ITA,228,0,True,3290600,False,DAPRA Simone,m,https://www.fantasyxc.se/api/athletes/3290600,https://www.fantasyxc.se/api/athletes/3290600/results
